transfer,well ,volume_ul,dilution ,lys_r1,lys_r2,lys_r3,lys_r4,his_r1,his_r2,his_r3,his_r3,his_r4
6,A4,10,3,,,,,13,29,,,
6,A4,10,4,18,15,,,2,,,,
6,A4,10,5,1,3,,,,,,,
6,A4,10,6,,,,,,,,,
6,A5,10,3,,,,,11,35,,,
6,A5,10,4,32,35,,,40,1,,,
6,A5,10,5,2,5,,,,,,,
6,A5,10,6,,,,,,,,,
6,A6,10,3,,,,,6,34,,,
6,A6,10,4,59,49,,,2,1,,,
6,A6,10,5,7,13,,,,,,,
6,A6,10,6,,,,,,,,,
6,B1,10,3,,,,,,,,,
6,B1,10,4,,,,,,,,,
6,B1,10,5,,,,,,,,,
6,B1,10,6,,,,,,,,,
6,B2,10,3,,,,,,,,,
6,B2,10,4,,,,,,,,,
6,B2,10,5,,,,,,,,,
6,B2,10,6,,,,,,,,,
6,B3,10,3,,,,,,,,,
6,B3,10,4,,,,,,,,,
6,B3,10,5,,,,,,,,,
6,B3,10,6,,,,,,,,,
6,B4,10,3,,,,,,,,,
6,B4,10,4,,,,,,,,,
6,B4,10,5,,,,,,,,,
6,B4,10,6,,,,,,,,,
6,B5,10,3,,,,,,,,,
6,B5,10,4,,,,,,,,,
6,B5,10,5,,,,,,,,,
6,B5,10,6,,,,,,,,,
6,B6,10,3,,,,,,,,,
6,B6,10,4,,,,,,,,,
6,B6,10,5,,,,,,,,,
6,B6,10,6,,,,,,,,,
6,C1,10,3,,,,,15,17,,,
6,C1,10,4,62,60,,,2,4,,,
6,C1,10,5,13,3,,,,,,,
6,C1,10,6,,,,,,,,,
6,C2,10,3,63,70,,,23,24,,,
6,C2,10,4,10,13,,,5,2,,,
6,C2,10,5,1,,,,,,,,
6,C2,10,6,,,,,,,,,
6,C3,10,3,,,,,,,,,
6,C3,10,4,44,44,,,33,39,,,
6,C3,10,5,7,3,,,9,7,,,
6,C3,10,6,,,,,,,,,
6,C4,10,3,49,61,,,,,,,
6,C4,10,4,8,6,,,10,11,,,
6,C4,10,5,1,1,,,2,1,,,
6,C4,10,6,,,,,,,,,
6,C5,10,3,,,,,,,,,
6,C5,10,4,21,25,,,16,12,,,
6,C5,10,5,4,1,,,2,2,,,
6,C5,10,6,,,,,,,,,
6,C6,10,3,,,,,4,37,,,
6,C6,10,4,35,41,,,5,7,,,
6,C6,10,5,9,1,,,,,,,
6,C6,10,6,,,,,,,,,
6,D1,10,3,,,,,,,,,
6,D1,10,4,9,24,,,,,,,
6,D1,10,5,1,3,,,,,,,
6,D1,10,6,,,,,,,,,
6,D2,10,3,,,,,,,,,
6,D2,10,4,,,,,,,,,
6,D2,10,5,8,5,,,,,,,
6,D2,10,6,,,,,,,,,
6,D3,10,3,3,,,,,,,,
6,D3,10,4,,,,,,,,,
6,D3,10,5,,,,,15,6,41,,
6,D3,10,6,,,,,,,,,
6,D4,10,3,20,,,,,,,,
6,D4,10,4,,,,,,,,,
6,D4,10,5,,,,,5,10,36,,
6,D4,10,6,,,,,,,,,
6,D5,10,3,,,,,,,,,
6,D5,10,4,91,71,,,84,90,86,67,
6,D5,10,5,18,,,,,,,,
6,D5,10,6,,,,,,,,,
6,D6,10,3,,,,,52,71,6,9,
6,D6,10,4,,,,,13,11,14,7,
6,D6,10,5,,,,,,,,,
6,D6,10,6,,,,,,,,,
7,A1,10,2,,,,,83,,,,
7,A1,10,3,,,,,33,39,44,36,
7,A1,10,4,     ,,,,8,8,7,6,
7,A1,10,5,,,,,,,,,
7,A1,10,6,,,,,,,,,
7,A2,10,3,,,,,,,,,
7,A2,10,4,62,61,,,,,,,
7,A2,10,5,15,33,,,17,23,,,
7,A2,10,6,,,,,,,,,
7,A3,10,3,,,,,,,,,
7,A3,10,4,120,81,,,25,24,40,24,
7,A3,10,5,19,16,,,1,3,,,
7,A3,10,6,,,,,,,,,
7,A4,10,3,,,,,,,,,
7,A4,10,4,,,,,30,24,43,31,
7,A4,10,5,20,47,,,6,4,,,
7,A4,10,6,,,,,,,,,
7,A5,10,3,,,,,,,,,
7,A5,10,4,,,,,,,,,
7,A5,10,5,18,59,,,37,29,39,31,
7,A5,10,6,,,,,2,4,,,
7,A6,10,3,,,,,34,72,44,26,
7,A6,10,4,,,,,10,10,5,6,
7,A6,10,5,21,8,,,,,,,
7,A6,10,6,,,,,,,,,
7,B1,10,3,,,,,,,,,
7,B1,10,4,,,,,88,70,,,
7,B1,10,5,13,3,,,9,15,,,
7,B1,10,6,,,,,,,,,
7,B2,10,3,,,,,,,,,
7,B2,10,4,,,,,,,,,
7,B2,10,5,15,21,,,22,19,,,
7,B2,10,6,,,,,,,,,
7,B3,10,3,,,,,,,,,
7,B3,10,4,89,74,,,77,58,52,,
7,B3,10,5,23,24,,,4,6,,,
7,B3,10,6,,,,,,,,,
7,B4,10,3,,,,,,,,,
7,B4,10,4,84,70,86,49,60,62,70,57,
7,B4,10,5,19,4,,,7,,,,
7,B4,10,6,,,,,,,,,
7,B5,10,3,,,,,,,,,
7,B5,10,4,41,,,,32,,,,
7,B5,10,5,91,,,,,,,,
7,B5,10,6,,,,,,,,,
7,B6,10,3,,,,,,,,,
7,B6,10,4,,,,,2,2,,,
